episode,reward
0,-0.10025
100,0.22575
200,0.23775
300,0.67075
400,0.74275
500,0.7085
600,0.66775
700,0.73725
800,0.9065
900,1.08675
1000,0.98825
1100,1.10925
1200,0.97075
1300,1.03675
1400,1.0555
1500,0.958
1600,1.00625
1700,1.039
1800,1.10825
1900,1.0185
2000,1.0865
2100,1.19125
2200,1.13575
2300,1.1825
2400,1.12
2500,1.2165
2600,1.23575
2700,1.2715
2800,1.282
2900,1.21375
3000,1.2735
3100,1.2785
3200,1.20275
3300,1.33425
3400,1.3565
3500,1.31775
3600,1.3445
3700,1.391
3800,1.25875
3900,1.38675
4000,1.30575
4100,1.1885
4200,1.29225
4300,1.34575
4400,1.26025
4500,1.30425
4600,1.3615
4700,1.3675
4800,1.389
4900,1.2775
