episode,reward
0,0.106
100,0.6155
200,0.6885
300,0.5965
400,1.038
500,1.02
600,1.14525
700,1.165
800,1.1255
900,1.043
1000,0.991
1100,1.288
1200,1.1045
1300,1.106
1400,1.04025
1500,1.24875
1600,1.07575
1700,1.058
1800,1.125
1900,1.2495
2000,1.152
2100,1.21125
2200,1.22575
2300,1.15275
2400,1.13875
2500,1.06725
2600,1.195
2700,1.16125
2800,1.2295
2900,1.20425
3000,1.20975
3100,1.16575
3200,1.263
3300,1.07775
3400,1.078
3500,1.07375
3600,1.12775
3700,1.29825
3800,1.287
3900,1.11825
4000,1.159
4100,1.17175
4200,1.1805
4300,1.24775
4400,1.1605
4500,1.26325
4600,1.23575
4700,1.2295
4800,1.28675
4900,1.2225
