episode,reward
0,0.81275
100,0.68775
200,1.19875
300,1.1665
400,1.17525
500,1.1795
600,1.13025
700,1.168
800,1.1565
900,1.08025
1000,1.1445
1100,1.211
1200,1.08175
1300,1.1965
1400,1.2785
1500,1.159
1600,1.1715
1700,1.1105
1800,1.14025
1900,1.1525
2000,1.20075
2100,1.189
2200,1.2505
2300,1.2255
2400,1.0805
2500,1.18525
2600,1.21875
2700,1.16425
2800,1.25025
2900,1.1325
3000,1.28775
3100,1.315
3200,1.28625
3300,1.19675
3400,1.14225
3500,1.118
3600,1.209
3700,1.235
3800,1.23275
3900,1.239
4000,1.16675
4100,1.15825
4200,1.14525
4300,1.2255
4400,1.1265
4500,1.39125
4600,1.358
4700,1.175
4800,1.22
4900,1.09725
