episode,reward
0,-0.1945
100,1.15575
200,1.23925
300,1.2015
400,1.206
500,1.0935
600,1.256
700,1.184
800,1.1625
900,1.104
1000,1.14775
1100,1.29275
1200,1.1585
1300,1.02825
1400,1.10325
1500,0.99575
1600,1.08625
1700,0.9965
1800,1.24275
1900,1.2495
2000,1.152
2100,1.22
2200,1.15925
2300,1.15275
2400,1.107
2500,1.17625
2600,1.26525
2700,1.0945
2800,1.12225
2900,1.212
3000,1.16775
3100,1.21525
3200,1.20675
3300,1.11625
3400,1.16725
3500,1.17775
3600,1.1395
3700,1.17625
3800,1.22175
3900,1.23275
4000,1.255
4100,1.12525
4200,1.22825
4300,1.18025
4400,1.18
4500,1.28075
4600,1.29925
4700,1.18475
4800,1.187
4900,1.1535
